gps_msg.header.stamp.to_sec(),gps_msg.latitude,gps_msg.longitude,timed_compass_msg.header.stamp.to_sec(),timed_compass_msg.range,vfr_hud_msg.header.stamp.to_sec(),vfr_hud_msg.groundspeed,gps_velocity_msg.header.stamp.to_sec(),gps_velocity_msg.twist.linear.x,gps_velocity_msg.twist.linear.y,imu_msg.header.stamp.to_sec(),imu_msg.pose.pose.position.x,imu_msg.pose.pose.position.y,imu_msg.pose.pose.position.z,imu_msg.pose.pose.orientation.x,imu_msg.pose.pose.orientation.y,imu_msg.pose.pose.orientation.z,imu_msg.pose.pose.orientation.w,imu_msg.twist.twist.linear.x,imu_msg.twist.twist.linear.y,imu_msg.twist.twist.linear.z,imu_msg.twist.twist.angular.x,imu_msg.twist.twist.angular.y,imu_msg.twist.twist.angular.z,sonde_msg.header.stamp.to_sec(),yymmdd,hhmmss,battery_v,temperature_c,depth_m,cond_uS_cm,pH,spcond_mS_cm,spcond_Us_cm,chlorophyll_rfu,odo_pct_sat,odo_mg_l,turbidity_ntu,bga_pc_rfu,chlorophyll_ug_l,bga_pc_ug_l
1662031219.0768797,43.410038,-72.0370275,1675301271.644086,15.49,1662031219.2994542,0.1001606434583664,1662031219.0428796,-0.22297632585594138,0.08877813980809156,1662031219.0978796,-0.11273880302906036,0.03391008824110031,330.9827575683594,0.03955808923443581,0.03413460504619246,-0.6043720489619798,-0.7949870519372999,0.0396836712876774,-0.013622174218366392,-0.06816946083624248,0.005496852099895477,0.0012785065919160843,0.0004797782166860996,1662031219.457292,220901.0,72018.0,4.949999809265137,15.694000244140625,-0.16699999570846558,0.07000000029802322,6.820000171661377,0.0,0.09000000357627869,0.20999999344348907,103.19999694824219,10.25,11.789999961853027,1.309999942779541,0.8500000238418579,1.309999942779541
1662031220.0578797,43.410038,-72.0370269,1675301272.616754,15.5,1662031220.2994475,0.2846195697784424,1662031220.0428796,-0.055744081463985344,0.02219453495202289,1662031220.0968797,-0.05777372792363167,0.026843540370464325,331.0054016113281,0.03839558719436672,0.032400187576069106,-0.6043973297867311,-0.795097399364194,0.07185377245800216,-0.22880776450802517,-0.09132609304033189,0.005168728530406952,0.0024218526668846607,0.00046620349166914794,1662031220.457291,220901.0,72019.0,4.949999809265137,15.694000244140625,-0.1679999977350235,0.07000000029802322,6.849999904632568,0.0,0.07999999821186066,0.2199999988079071,103.19000244140625,10.25,11.770000457763672,1.309999942779541,0.8899999856948853,1.309999942779541
1662031221.0768797,43.4100385,-72.0370259,1675301273.637272,15.52,1662031221.2994478,0.4577792286872864,1662031221.0428796,-0.10219748268397313,0.0406899807453753,1662031221.0978796,0.03302085027098656,0.10100848972797394,331.04754638671875,0.037475189082635404,0.03079309676064101,-0.6043684354190433,-0.7952271308652943,0.16076041412073758,-0.38103773490956766,-0.09510809168900901,0.0050707049667835236,0.0028230571188032627,0.0004791163955815133,1662031221.457292,220901.0,72020.0,4.949999809265137,15.694000244140625,-0.1679999977350235,0.07000000029802322,6.869999885559082,0.0,0.07999999821186066,0.23999999463558197,103.19000244140625,10.25,11.819999694824219,1.3600000143051147,0.9700000286102295,1.3600000143051147
1662031222.0978796,43.410039,-72.0370247,1675301274.668789,15.56,1662031222.2996402,0.5494260191917419,1662031222.0428796,-0.22297632585594138,0.08877813980809156,1662031222.1178796,0.12431874871253967,0.14607691764831543,331.0589294433594,0.03725238965952326,0.029654427146158256,-0.6041862578862309,-0.7954192857837437,0.19662919269068022,-0.49903373049143057,-0.09941652256396159,0.004486163146793842,0.0033729758579283953,0.0003212590236216779,1662031222.457295,220901.0,72021.0,4.949999809265137,15.694999694824219,-0.16699999570846558,0.07000000029802322,6.849999904632568,0.0,0.09000000357627869,0.25,103.19000244140625,10.25,11.880000114440918,1.399999976158142,1.0099999904632568,1.399999976158142
1662031223.0768797,43.4100393,-72.0370246,1675301275.636089,15.59,1662031223.2984815,0.6022361516952515,1662031223.0428796,-0.399499250491895,0.1590608338228307,1662031223.0968797,0.1369188129901886,0.18698081374168396,331.0974426269531,0.03757453010713628,0.03002533727183936,-0.6039513252426754,-0.7955686208910936,0.2125691761368652,-0.5394145137326848,-0.08317515065562306,0.005521559156477451,0.002367748413234949,0.0001729398500174281,1662031223.457307,220901.0,72022.0,4.949999809265137,15.694000244140625,-0.16699999570846558,0.07000000029802322,6.869999885559082,0.0,0.09000000357627869,0.3100000023841858,103.19000244140625,10.25,11.84000015258789,1.409999966621399,1.2300000190734863,1.4199999570846558
1662031224.0768797,43.4100388,-72.0370234,1675301276.645222,15.66,1662031224.2984993,0.6667284965515137,1662031224.0428796,-0.1951042851239487,0.07768087233208011,1662031224.0978796,0.23176492750644684,0.12697602808475494,331.09002685546875,0.03713748511715206,0.030469857619434944,-0.603544339794165,-0.7958810368882088,0.19322135745057947,-0.6260332825289561,-0.09877070189019324,0.005368228070437908,0.002150769578292966,0.0004918443737551568,1662031224.457292,220901.0,72023.0,4.949999809265137,15.692000389099121,-0.16699999570846558,0.07000000029802322,6.889999866485596,0.0,0.07999999821186066,0.3700000047683716,103.20999908447266,10.25,11.800000190734863,1.409999966621399,1.4900000095367432,1.4199999570846558
1662031225.0978796,43.4100386,-72.0370231,1675301277.656955,15.73,1662031225.2984886,0.6892609000205994,1662031225.0428796,-0.09290680243997558,0.036990891586704815,1662031225.1178796,0.2600947916507721,0.10700991749763489,331.0946350097656,0.03753045286089477,0.030796225293522977,-0.6029424942394443,-0.7963061008532112,0.2038778685716557,-0.6593395671096931,-0.10404947427508074,0.004601678811013699,0.0012493287213146687,0.0001433241995982824,1662031225.45729,220901.0,72024.0,4.949999809265137,15.6899995803833,-0.16699999570846558,0.07000000029802322,6.889999866485596,0.0,0.07999999821186066,0.38999998569488525,103.22000122070312,10.260000228881836,11.770000457763672,1.340000033378601,1.559999942779541,1.340000033378601
1662031226.0578797,43.4100383,-72.0370256,1675301278.617443,15.75,1662031226.298527,0.5785171389579773,1662031226.0428796,-0.13936020365996335,0.055486337380057225,1662031226.0968797,0.045236047357320786,0.06928836554288864,331.08575439453125,0.03866643434450771,0.031083941445204346,-0.6026985996039518,-0.7964251964087704,0.170122655903848,-0.5696335908532503,-0.09797913358607463,0.003670899197459221,0.002798285335302353,0.000463070115074515,1662031226.457285,220901.0,72025.0,4.949999809265137,15.690999984741211,-0.16699999570846558,0.07000000029802322,6.900000095367432,0.0,0.09000000357627869,0.36000001430511475,103.22000122070312,10.260000228881836,11.789999961853027,1.340000033378601,1.4500000476837158,1.340000033378601
1662031227.0778797,43.4100378,-72.0370295,1675301279.638404,15.78,1662031227.2985492,0.4709396958351135,1662031227.0428796,-0.03716272097599023,0.014796356634681927,1662031227.0978796,-0.2717350125312805,0.009609777480363846,331.066162109375,0.0403882963526494,0.03213793949856069,-0.6024411821974679,-0.796492661833764,0.12693043442020244,-0.4671237530759085,-0.095086534991018,0.0025820229202508926,-0.0017601046711206436,-0.0004951756563968954,1662031227.457284,220901.0,72026.0,4.949999809265137,15.690999984741211,-0.16699999570846558,0.07000000029802322,6.909999847412109,0.0,0.09000000357627869,0.3499999940395355,103.22000122070312,10.260000228881836,11.850000381469727,1.3899999856948853,1.4199999570846558,1.3899999856948853
1662031228.0968797,43.4100378,-72.0370323,1675301280.663023,15.82,1662031228.2985609,0.4556730091571808,1662031228.0428796,-0.29730176780792184,0.11837085307745542,1662031228.1178796,-0.498714417219162,0.007183916866779327,331.0669860839844,0.04120467628708031,0.032555930351430104,-0.6022663829200088,-0.7965660613254114,0.12484756577674055,-0.41562786026441306,-0.0888773217040579,0.0050101978704333305,0.0016361437737941742,0.00033757975324988343,1662031228.457285,220901.0,72027.0,4.949999809265137,15.6899995803833,-0.16699999570846558,0.07000000029802322,6.909999847412109,0.0,0.09000000357627869,0.3499999940395355,103.22000122070312,10.260000228881836,11.84000015258789,1.399999976158142,1.409999966621399,1.399999976158142
